,date,state,fips,cases,deaths
38026,2022-01-20,Washington,53,1141184,10425
38082,2022-01-21,Washington,53,1157736,10474
38138,2022-01-22,Washington,53,1157641,10474
38194,2022-01-23,Washington,53,1157551,10474
38250,2022-01-24,Washington,53,1205574,10529
38306,2022-01-25,Washington,53,1212396,10543
38362,2022-01-26,Washington,53,1258525,10660
38418,2022-01-27,Washington,53,1265006,10659
38474,2022-01-28,Washington,53,1294536,10756
38530,2022-01-29,Washington,53,1294536,10756
38586,2022-01-30,Washington,53,1294536,10756
38642,2022-01-31,Washington,53,1335737,10838
38698,2022-02-01,Washington,53,1336200,10838
38754,2022-02-02,Washington,53,1351639,10924
38810,2022-02-03,Washington,53,1355172,10961
38866,2022-02-04,Washington,53,1365001,11068
38922,2022-02-05,Washington,53,1365175,11068
38978,2022-02-06,Washington,53,1365183,11068
39034,2022-02-07,Washington,53,1380697,11175
39090,2022-02-08,Washington,53,1381587,11187
39146,2022-02-09,Washington,53,1389806,11281
39202,2022-02-10,Washington,53,1393176,11287
39258,2022-02-11,Washington,53,1409126,11397
39314,2022-02-12,Washington,53,1409126,11397
39370,2022-02-13,Washington,53,1409126,11397
39426,2022-02-14,Washington,53,1410097,11459
39482,2022-02-15,Washington,53,1410237,11459
39538,2022-02-16,Washington,53,1410561,11594
39594,2022-02-17,Washington,53,1411406,11621
39650,2022-02-18,Washington,53,1410803,11706
39706,2022-02-19,Washington,53,1410803,11706
39762,2022-02-20,Washington,53,1410803,11706
39818,2022-02-21,Washington,53,1410803,11706
39874,2022-02-22,Washington,53,1412745,11712
39930,2022-02-23,Washington,53,1415548,11812
39986,2022-02-24,Washington,53,1416016,11811
40042,2022-02-25,Washington,53,1419088,11903
40098,2022-02-26,Washington,53,1419088,11903
40154,2022-02-27,Washington,53,1419088,11903
40210,2022-02-28,Washington,53,1424674,11941
40266,2022-03-01,Washington,53,1424853,11941
40322,2022-03-02,Washington,53,1428260,12020
40378,2022-03-03,Washington,53,1428413,12020
40434,2022-03-04,Washington,53,1430901,12098
40490,2022-03-05,Washington,53,1430901,12098
40546,2022-03-06,Washington,53,1430938,12098
40602,2022-03-07,Washington,53,1432966,12141
40658,2022-03-08,Washington,53,1433011,12141
40714,2022-03-09,Washington,53,1435562,12210
40770,2022-03-10,Washington,53,1435650,12210
40826,2022-03-11,Washington,53,1438763,12263
40882,2022-03-12,Washington,53,1438770,12263
40938,2022-03-13,Washington,53,1438770,12263
40994,2022-03-14,Washington,53,1441186,12292
41050,2022-03-15,Washington,53,1441390,12292
41106,2022-03-16,Washington,53,1443641,12348
41162,2022-03-17,Washington,53,1443701,12348
41218,2022-03-18,Washington,53,1445951,12406
41274,2022-03-19,Washington,53,1445951,12406
41330,2022-03-20,Washington,53,1445951,12406
41386,2022-03-21,Washington,53,1447540,12421
41442,2022-03-22,Washington,53,1447594,12421
41498,2022-03-23,Washington,53,1449475,12467
41554,2022-03-24,Washington,53,1449501,12468
41610,2022-03-25,Washington,53,1452003,12497
41666,2022-03-26,Washington,53,1452003,12497
41722,2022-03-27,Washington,53,1452003,12497
41778,2022-03-28,Washington,53,1453919,12515
41834,2022-03-29,Washington,53,1453946,12515
41890,2022-03-30,Washington,53,1455589,12540
41946,2022-03-31,Washington,53,1455632,12540
42002,2022-04-01,Washington,53,1457235,12566
42058,2022-04-02,Washington,53,1457235,12566
42114,2022-04-03,Washington,53,1457415,12566
42170,2022-04-04,Washington,53,1459308,12573
42226,2022-04-05,Washington,53,1459312,12573
42282,2022-04-06,Washington,53,1465384,12599
42338,2022-04-07,Washington,53,1465415,12602
42394,2022-04-08,Washington,53,1468041,12623
42450,2022-04-09,Washington,53,1468041,12623
42506,2022-04-10,Washington,53,1468041,12623
42562,2022-04-11,Washington,53,1469439,12627
42618,2022-04-12,Washington,53,1469449,12627
42674,2022-04-13,Washington,53,1472736,12643
42730,2022-04-14,Washington,53,1472774,12643
42786,2022-04-15,Washington,53,1475546,12672
42842,2022-04-16,Washington,53,1475546,12672
